Path,Purpose,Status,Created,Last Modified,Last Modified By,Size,Imported By,Imports,Has ML Patterns,Touches Kernel,Touches L5,Production Deploy Artifact
$AUDIT_DIR/account_page.body.txt,Audit capture: account_page.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/account_page.headers.json,Audit capture: account_page.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,11 lines,,,NO,NO,NO,NO
$AUDIT_DIR/auth_session.body.txt,Audit capture: auth_session.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/auth_session.headers.json,Audit capture: auth_session.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,8 lines,,,NO,NO,NO,NO
$AUDIT_DIR/credential-attempts.json,Audit capture: credential-attempts.json,SUPPORT-TOOL,untracked,untracked,untracked,11 lines,,,NO,NO,NO,NO
$AUDIT_DIR/credential-selected.json,Audit capture: credential-selected.json,SUPPORT-TOOL,untracked,untracked,untracked,16 lines,,,NO,NO,NO,NO
$AUDIT_DIR/login.json,Audit capture: login.json,SUPPORT-TOOL,untracked,untracked,untracked,9 lines,$AUDIT_DIR/credential-attempts.json; $AUDIT_DIR/credential-selected.json; FRONTEND_MIGRATION_PLAN.md; TFE_TASK5_BEHAVIOR_GAP_REPORT.md; app.py; auth_fix_verification_latest.json; auth_triage_latest.json; auth_triage_latest.md; buildspec.yml; dsf_ai_service/buildspec.yml,,NO,NO,NO,NO
$AUDIT_DIR/portfolio.body.txt,Audit capture: portfolio.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/portfolio.headers.json,Audit capture: portfolio.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,7 lines,,,NO,NO,NO,NO
$AUDIT_DIR/recommendations.body.txt,Audit capture: recommendations.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/recommendations.headers.json,Audit capture: recommendations.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,7 lines,,,NO,NO,NO,NO
$AUDIT_DIR/screener_overview.body.txt,Audit capture: screener_overview.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/screener_overview.headers.json,Audit capture: screener_overview.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,7 lines,,,NO,NO,NO,NO
$AUDIT_DIR/screener_technical.body.txt,Audit capture: screener_technical.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/screener_technical.headers.json,Audit capture: screener_technical.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,7 lines,,,NO,NO,NO,NO
$AUDIT_DIR/sign_in_page.body.txt,Audit capture: sign_in_page.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/sign_in_page.headers.json,Audit capture: sign_in_page.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,12 lines,,,NO,NO,NO,NO
$AUDIT_DIR/watchlist.body.txt,Audit capture: watchlist.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/watchlist.headers.json,Audit capture: watchlist.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,7 lines,,,NO,NO,NO,NO
$AUDIT_DIR/watchlist_chart_calm.body.txt,Audit capture: watchlist_chart_calm.body.txt,SUPPORT-TOOL,untracked,untracked,untracked,1 lines,,,NO,NO,NO,NO
$AUDIT_DIR/watchlist_chart_calm.headers.json,Audit capture: watchlist_chart_calm.headers.json,SUPPORT-TOOL,untracked,untracked,untracked,7 lines,,,NO,NO,NO,NO
.claude/settings.json,JSON data/config: settings.json,SUPPORT-TOOL,2026-04-22,2026-05-26,Codex,51 lines,TFE_Specification_Merged/ch18_financial_governance.tex; TFE_Specification_v2_0.tex; TFE_Specification_v2_2 (1).tex; TFE_Specification_v2_2.tex; TFE_Specification_v2_3.tex; TFE_Specification_v2_4.tex; TFE_Specification_v2_5.tex; app.py; arcloom/scripts/create_project.tcl; auth_triage_latest.json,,NO,NO,NO,NO
.claude/settings.local.json,JSON data/config: settings.local.json,SUPPORT-TOOL,2026-03-26,2026-04-04,Codex,12 lines,,,NO,NO,NO,NO
.devcontainer/devcontainer.json,JSON data/config: devcontainer.json,SUPPORT-TOOL,2026-03-21,2026-03-26,Codex,17 lines,,,NO,NO,NO,NO
.dockerignore,Docker build ignore rules,SUPPORT-TOOL,2026-02-22,2026-05-13,Codex,121 lines,deploy_run.log; tools/deploy_to_prod_with_evidence.sh; tools/verify_build_only_with_evidence.sh,,NO,NO,YES,NO
.env,Environment variables (should not be committed),SUPPORT-TOOL,untracked,untracked,untracked,5 lines,.gitignore; Archieve_2/aws_root_key_provider.py; DEPLOYMENT_REFERENCE.md; audit_raw_sics.py; aws_root_key_provider.py; bar_cache.py; docs/VALIDATION_ENVIRONMENT_SPEC.md; dsf_ai_service/kernel_runner.py; dsf_ai_service/narrator.py; full_universe_index_freeze_dataset.py,,NO,NO,NO,NO
.github/workflows/deploy-prod.yml,YAML config: deploy-prod.yml,SUPPORT-TOOL,2026-02-22,2026-02-22,TFE Bot,169 lines,tools/build_dsf_historical_full_surface_snapshot_archive.py; tools/l4_l5_semantic_truth_audit.py,,NO,NO,NO,NO
.gitignore,Git ignore rules,SUPPORT-TOOL,2026-02-22,2026-05-26,Codex,75 lines,docs/VALIDATION_ENVIRONMENT_SPEC.md,,NO,NO,NO,NO
.vscode/extensions.json,JSON data/config: extensions.json,SUPPORT-TOOL,untracked,untracked,untracked,5 lines,.devcontainer/devcontainer.json; TFE_Specification_Merged/ch27_change_control.tex; TFE_Specification_v2_0.tex; docs/ArcLoom_Competitive_Landscape.log; docs/CFF_Discovery_Algorithm_Spec_v1_0.log; docs/Cu3O2_Growth_and_Test_Spec.log; docs/Diamond_QC_Complete_Package.log; docs/Krimelack_Structural_Memory_Paper.log; docs/RTSC_Cable_Spec_v6_1.log; docs/UFCP_Comprehensive_Specification_v1_0.log,,NO,NO,NO,NO
.vscode/settings.json,JSON data/config: settings.json,SUPPORT-TOOL,untracked,untracked,untracked,7 lines,TFE_Specification_Merged/ch18_financial_governance.tex; TFE_Specification_v2_0.tex; TFE_Specification_v2_2 (1).tex; TFE_Specification_v2_2.tex; TFE_Specification_v2_3.tex; TFE_Specification_v2_4.tex; TFE_Specification_v2_5.tex; app.py; arcloom/scripts/create_project.tcl; auth_triage_latest.json,,NO,NO,NO,NO
ADVANCED_LOCALIZED_THERMODYNAMICS___ASYMMETRIC_EXHAUSTION.pdf,PDF document: ADVANCED_LOCALIZED_THERMODYNAMICS___ASYMMETRIC_EXHAUSTION.pdf,UNKNOWN,2026-04-22,2026-04-22,Codex,201752 bytes,,,NO,NO,NO,NO
AGENTS.md,Agent configuration for Claude Code,UNKNOWN,2026-02-22,2026-04-11,Codex,184 lines,DB_NATIVE_MIGRATION_CONTRACT.md; LOAD_DIRECTIVE_NEXT_CHAT.md; PRODUCTION_EVALUATION_CONTRACT.md,,NO,NO,NO,NO
AWS Deployment Notes.docx,Word document: AWS Deployment Notes.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,137913 bytes,,,NO,NO,NO,NO
AWS_RUNBOOK.md,Documentation: AWS RUNBOOK,UNKNOWN,2026-03-21,2026-03-21,Codex,158 lines,TFE_5_3_Implementation_Plan_v1_1.md; TFE_5_3_Implementation_Plan_v2_4.md; web_user_data/TFE_5_3_Implementation_Plan_v2_4.md,,NO,NO,NO,NO
Appendix A.docx,Word document: Appendix A.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,24901 bytes,,,NO,NO,NO,NO
Appendix B.docx,Word document: Appendix B.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,25402 bytes,,,NO,NO,NO,NO
ArcLoom_LoomCore_RNA3D_Spec_v0_1.pdf,PDF document: ArcLoom_LoomCore_RNA3D_Spec_v0_1.pdf,UNKNOWN,2026-03-21,2026-03-21,Codex,300807 bytes,,,NO,NO,NO,NO
Archieve_2/ARC_rebuild_uf_snapshot.py,rebuild_uf_snapshot.py,DEAD,2026-03-21,2026-03-21,Codex,173 lines,,__future__; massive_universe_cache; massive_universe_cache_etf; massive_universe_crypto; massive_universe_index; uf_mdg_snapshot,NO,NO,NO,NO
Archieve_2/ARC_uf_engine_aws_service.py,uf_engine_aws_service.py,DEAD,2026-03-21,2026-03-21,Codex,255 lines,,__future__; uf_kernel_engine,NO,YES,NO,NO
Archieve_2/Arc1_data_loader.py,Returns a dict {ticker: last_close_price}.,DEAD,2026-03-21,2026-03-21,Codex,89 lines,,pandas; yfinance,NO,NO,NO,NO
Archieve_2/aws_root_key_provider.py,AWS Secrets Manager key provider for TFE encryption,DEAD,2026-03-21,2026-03-21,Codex,137 lines,.dockerignore; deploy_run.log; full_universe_index_freeze_dataset.py; rebuild_uf_snapshot.py; recovered_versions/l5_policy_learning_pipeline_feb21.py; tfe_crypto_manager.py; uf_snapshot_cache.py; web/Dockerfile; web/scripts/ses_web_blob.py,AWS; __future__; boto3; key_derivation,NO,NO,NO,NO
Archieve_2/uf_snapshot_old_backup.json,Archived legacy code: uf_snapshot_old_backup.json,DEAD,untracked,untracked,untracked,45004 lines,.gitignore; Archieve_2/ARC_rebuild_uf_snapshot.py; DB_NATIVE_MIGRATION_CONTRACT.md; rebuild_uf_snapshot.py; structural_recency_snapshot.py; tools/build_rowtrace_backfill_plan.py; tools/l4_phase2_structural_snapshot_sync_postgres.py; tools/recommendation_data_remediation_lane.py; uf_snapshot_rebuild_report.json; web/scripts/pre_ingestion_completeness_check.py,,NO,NO,NO,NO
Archieve_2/uf_structural_engine,Archived legacy code: uf_structural_engine,DEAD,2026-03-21,2026-03-21,Codex,44 lines,Archieve_2/uf_structural_engine.py; L5_CURRENT_SYSTEM_FULL_SPEC.md; TFE_KERNEL_DIAGNOSTIC_20260526.md; TFE_SOURCE_PACKAGE_FOR_REVIEW.md; TFE_STATE_OF_SYSTEM_AND_3WA_RISK_ASSESSMENT.md; TFE_TODO_LIST.md; cached_irf_feature_test.py; cached_policy_schema_search.py; current_l5_code_truth_to_spec_gap_latest.json; current_l5_code_truth_to_spec_gap_latest.md,,NO,YES,NO,NO
Archieve_2/uf_structural_engine.py,uf_structural_engine.py,DEAD,2026-03-21,2026-03-21,Codex,540 lines,Archieve_2/uf_structural_engine; L5_CURRENT_SYSTEM_FULL_SPEC.md; TFE_KERNEL_DIAGNOSTIC_20260526.md; TFE_SOURCE_PACKAGE_FOR_REVIEW.md; TFE_STATE_OF_SYSTEM_AND_3WA_RISK_ASSESSMENT.md; TFE_TODO_LIST.md; cached_irf_feature_test.py; cached_policy_schema_search.py; current_l5_code_truth_to_spec_gap_latest.json; current_l5_code_truth_to_spec_gap_latest.md,__future__; numpy; pandas; uf_core,NO,YES,NO,NO
Aurelion_G32___ORCHESTRATOR.pdf,PDF document: Aurelion_G32___ORCHESTRATOR.pdf,DEAD,2026-03-21,2026-03-21,Codex,263748 bytes,,,NO,NO,NO,NO
Build a Temporal Memory Policy Layer.txt,Text: Build a Temporal Memory Policy Layer.txt,UNKNOWN,2026-03-21,2026-03-21,Codex,90 lines,,,NO,NO,NO,NO
CHANGELOG.md,Documentation: CHANGELOG,UNKNOWN,2026-05-28,2026-05-28,Codex,101 lines,DOC_UPDATES_MAY28.md; web/scripts/execution/financial_rules.mjs,,NO,NO,NO,NO
ChatGTP UF Assistant Instructions.docx,Word document: ChatGTP UF Assistant Instructions.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,15678 bytes,,,NO,NO,NO,NO
DB_NATIVE_MIGRATION_CONTRACT.md,Documentation: DB NATIVE MIGRATION CONTRACT,UNKNOWN,2026-03-21,2026-03-21,Codex,450 lines,,,NO,NO,YES,NO
DEPLOYMENT_REFERENCE.md,Documentation: DEPLOYMENT REFERENCE,UNKNOWN,2026-03-31,2026-03-31,Codex,280 lines,,,NO,NO,NO,NO
DOC_UPDATES_MAY28.md,Documentation: DOC UPDATES MAY28,UNKNOWN,untracked,untracked,untracked,140 lines,,,NO,NO,NO,NO
DSF_CLEAN_WALKFORWARD_REPLAY_WITH_SYMBOL_MEMORY_V1.md,Documentation: DSF CLEAN WALKFORWARD REPLAY WITH SYMBOL MEMORY V1,UNKNOWN,2026-03-26,2026-03-26,Codex,125 lines,tools/run_dsf_clean_walkforward_replay_with_symbol_memory_v1.py,,NO,NO,NO,NO
DSF_GOVERNANCE_HANDOFF_FROM_FROZEN_PRIMITIVE.md,Documentation: DSF GOVERNANCE HANDOFF FROM FROZEN PRIMITIVE,UNKNOWN,2026-03-26,2026-03-26,Codex,50 lines,LOAD_DIRECTIVE_NEXT_CHAT.md,,NO,NO,NO,NO
DSF_HISTORICAL_FULL_SURFACE_SNAPSHOT_ARCHIVE.md,Documentation: DSF HISTORICAL FULL SURFACE SNAPSHOT ARCHIVE,UNKNOWN,2026-03-26,2026-03-26,Codex,28 lines,tools/build_dsf_historical_full_surface_snapshot_archive.py,,NO,NO,NO,NO
DSF_PRIMITIVE_BK_RECOVERY.md,Documentation: DSF PRIMITIVE BK RECOVERY,UNKNOWN,2026-03-26,2026-03-26,Codex,302 lines,,,NO,NO,NO,NO
DSF_PRIMITIVE_FULL_FIELD_SORTABLE_V1.md,Documentation: DSF PRIMITIVE FULL FIELD SORTABLE V1,UNKNOWN,2026-03-26,2026-03-26,Codex,98 lines,tools/run_dsf_full_field_sortable_v1.py,,NO,NO,NO,NO
DSF_PRIMITIVE_FULL_FIELD_SORTABLE_V3_PREVIEW.md,Documentation: DSF PRIMITIVE FULL FIELD SORTABLE V3 PREVIEW,UNKNOWN,2026-03-26,2026-03-26,Codex,102 lines,tools/run_dsf_full_field_sortable_v3_preview.py,,NO,NO,NO,NO
DSF_PRIMITIVE_FULL_FIELD_SORTABLE_V3_RATIONALIZED.md,Documentation: DSF PRIMITIVE FULL FIELD SORTABLE V3 RATIONALIZED,UNKNOWN,2026-03-26,2026-03-26,Codex,140 lines,DSF_GOVERNANCE_HANDOFF_FROM_FROZEN_PRIMITIVE.md; DSF_PRIMITIVE_INTERPRETATION_RECOVERY.md; LOAD_DIRECTIVE_NEXT_CHAT.md; tools/evaluate_recommendation_policy_snapshot.py; tools/run_dsf_full_field_sortable_v3_rationalized.py; web/scripts/runtime_decision_provenance.mjs,,NO,NO,NO,NO
DSF_PRIMITIVE_INTERPRETATION_RECOVERY.md,Documentation: DSF PRIMITIVE INTERPRETATION RECOVERY,UNKNOWN,2026-03-21,2026-03-26,Codex,283 lines,DSF_PRIMITIVE_LAW_SKETCH.md; LOAD_DIRECTIVE_NEXT_CHAT.md; tools/run_production_fixed_snapshot_gate_distribution.py; tools/run_uf_dynamic_decision_native_rowtrace_eval.py,,NO,NO,NO,NO
DSF_PRIMITIVE_INTERPRETATION_RECOVERY_STATUS.md,Documentation: DSF PRIMITIVE INTERPRETATION RECOVERY STATUS,UNKNOWN,2026-03-21,2026-03-21,Codex,189 lines,,,NO,NO,NO,NO
DSF_PRIMITIVE_LAW_SKETCH.md,Documentation: DSF PRIMITIVE LAW SKETCH,UNKNOWN,2026-03-21,2026-03-21,Codex,653 lines,LOAD_DIRECTIVE_NEXT_CHAT.md,,NO,NO,NO,NO
